constraint0,constraint1,constraint2,constraint3,level,step
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains (str.substr s 0 (str.indexof s ""-"")) ""-""))) (>= (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (str.to.int s) 0) (> (str.to.int s) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int s) 1) (> (str.to.int s) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int s) 1) (> (str.to.int s) 31)))",0,10
"(or (not (str.contains s ""-"")) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (>= (str.count s ""-"") 2) (or (< s 1) (> s 12)))","(=> (>= (str.count s ""-"") 2) (or (< s 1) (> s 31)))",0,11
"(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (>= (str.count s ""-"") 1) (or (< s 0) (> s 2025)))","(=> (>= (str.count s ""-"") 2) (or (< s 1) (> s 12)))","(=> (>= (str.count s ""-"") 2) (or (< s 1) (> s 31)))",0,12
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.indexof s ""-"" 1)))) (and (str.contains s ""-"" (str.indexof s ""-"" 1)) (str.contains s ""-"" (str.indexof s ""-"" 2))))))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (and (str.contains s ""-"") (str.contains s ""-"" (str.indexof s ""-"" 1)) (str.contains s ""-"" (str.indexof s ""-"" 2))) (or (< s 1) (> s 12)))","(=> (and (str.contains s ""-"" (str.indexof s ""-"" 1)) (str.contains s ""-"" (str.indexof s ""-"" 2))) (or (< s 1) (> s 31)))",0,13
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.indexof s ""-"" 1)))) (>= (str.count s ""-"") 1))","(=> (>= (str.count s ""-"") 1) (or (< (str.to.int s) 0) (> (str.to.int s) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int s) 1) (> (str.to.int s) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int s) 1) (> (str.to.int s) 31)))",0,14
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.indexof s ""-"" 1)))) (and (str.contains s ""-"" (str.indexof s ""-"" 1)) (str.contains s ""-"" (str.indexof s ""-"" 2))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-"")) 2025))))","(=> (and (str.contains s ""-"") (str.contains s ""-"" (str.indexof s ""-"" 2))) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1)))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1)))) 12)))","(=> (and (str.contains s ""-"") (str.contains s ""-"" (str.indexof s ""-"" 2))) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))) 31)))",0,15
"(or (not (str.contains s ""-"")) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (int (str.substr s 0 (str.indexof s ""-""))) 0) (> (int (str.substr s 0 (str.indexof s ""-"")) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.substr s (str.indexof s ""-"") (str.count s ""-"")))) 1) (> (int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.substr s (str.indexof s ""-"") (str.count s ""-"")))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"")) (str.length s))) 1) (> (int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"")) (str.length s))) 31)))",0,16
"(or (not (str.contains s ""-"")) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-"")) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-""))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-""))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"")) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"")) (str.length s))) 31)))",0,17
"(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (>= (str.count s ""-"") 1) (or (< (to_int (str.substr s 0 (str.indexof s ""-""))) 0) (> (to_int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (to_int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-""))) 1) (> (to_int (str.substr s (str.indexof s ""-"" (str.indexof s ""-""))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (to_int (str.substr s (str.indexof s ""-"" (str.indexof s ""-""))) 1) (> (to_int (str.substr s (str.indexof s ""-"" (str.indexof s ""-""))) 31)))",0,18
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.indexof s ""-"" 1)))) (>= (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (to_int (str.substr s 0 (str.indexof s ""-""))) 0) (> (to_int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (to_int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" 1))) 1) (> (to_int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" 1))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (to_int (str.substr s (str.indexof s ""-"" 1) (str.length s))) 1) (> (to_int (str.substr s (str.indexof s ""-"" 1) (str.length s))) 31)))",0,19
