name,mask,nl_constraint,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19
Email,True,The email shall have exactly one @ character.,"(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(= (str.count s ""@"")== 1)","(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))"
Email,True,"If the email contains a @ character, then the email shall include a dot character (.) after the @ character but before the end.","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"")(1)) (str.len s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))","(=> (str.contains s ""@"")(exists ((x String)) (and (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))"
Email,False,The email shall contain a space character.,"(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")"
Email,False,The email shall start with a @ character.,"(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")(>= (str.length s) 1)","(= (str.at s 0) ""@
"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")(not (str.contains s ""@""))","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")"
Email,False,The email shall have either no @ characters or more than one @ character.,"(or (not (str.contains s ""@"")) (> (str.count (str.to.re s) ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count (str.to.re s) ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))"
Email,False,"If the email contains a @ character, then the email shall not include any dot characters (.) after the @ character and before the end.","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"") (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"") (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"") (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"")(1)) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"") (not (str.contains (str.substr s (str.indexof s ""@"") (str.len s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"")) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"") (not (str.contains (str.substr s (+ (str.indexof s ""@
"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"") (not (str.contains (str.substr s (str.indexof s ""@"")(str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"") (str.len s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"")) ""."")))"
Password,True,The password shall be at least 4 characters long.,(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),,,,
Password,True,"The password shall contain one of the following characters: !, #, $.","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",,,,
Password,True,The password shall contain at least one upper case characters.,(exists ((c String)) (and (str.contains s c) (forall ((i String)) (=> (str.len c) 1 (isUpper (str.at c 0))))))),(exists ((c String)) (and (str.contains s c) (not (str.isLower c)))),(exists ((c String)) (and (str.contains s c) (not (= c (str.to.lower c))))),(exists ((c String)) (and (str.contains s c) (not (str.is_lower c)))),"(>= (str.len (str.filter (lambda (x) (and (>= x ""A"") (<= x ""Z""))) s)) 1)",(exists ((c String)) (and (str.contains s c) (not (str.is_lower c)))),(exists ((c String)) (and (str.contains s c) (not (str.is_lower c)))),(exists ((c String)) (and (str.contains s c) (isUpper c))),(exists ((c String)) (and (str.contains s c) (not (= c (str.to_lower c))))),(exists ((c String)) (and (str.contains s c) (not (str.is_lower c)))),(exists ((c String)) (and (str.contains s c) (not (= c (str.to_lower c))))),(exists ((c String)) (and (str.contains s c) (isUpper c))),"(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (re.range ""A"" ""Z"")))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (re.range ""A"" ""Z"")))))",(exists ((c String)) (and (str.contains s c) (is_upper c))),(exists ((c Char)) (and (str.contains s (str.mk_string (str.to_char c))) (is_upper c))),,,,
Password,True,The password shall contain at least one lower case characters.,(exists ((c String)) (and (str.contains s c) (forall ((i String)) (=> (str.len c) 1 (isLower (str.at c 0))))))),(exists ((c String)) (and (str.contains s c) (not (str.isUpper c)))),(exists ((c String)) (and (str.contains s c) (not (= c (str.to.upper c))))),(exists ((c String)) (and (str.contains s c) (not (str.is_upper c)))),"(>= (str.len (str.filter (lambda (x) (and (>= x ""a"") (<= x ""z""))) s)) 1)",(exists ((c String)) (and (str.contains s c) (not (str.is_upper c)))),(exists ((c String)) (and (str.contains s c) (not (str.is_upper c)))),(exists ((c String)) (and (str.contains s c) (isLower c))),(exists ((c String)) (and (str.contains s c) (not (= c (str.to_upper c))))),(exists ((c String)) (and (str.contains s c) (str.is_lower c))),(exists ((c String)) (and (str.contains s c) (not (= c (str.to_upper c))))),(exists ((c String)) (and (str.contains s c) (isLower c))),"(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (re.range ""a"" ""z"")))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (re.range ""a"" ""z"")))))",(exists ((c String)) (and (str.contains s c) (is_lower c))),(exists ((c Char)) (and (str.contains s (str.mk_string (str.to_char c))) (is_lower c))),,,,
Password,False,The password shall contain less than 4 characters.,,,,,,(< (str.len s) 4),,,,,(< (str.len s) 4),,,,,,,(< (str.len s) 4),,
Password,False,"The password shall not contain any of the following characters: !, #, $.",,,,,,"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",,,,,"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",,,,,,,"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",,
Password,False,The password shall not contain any upper case characters.,,,,,,"(not (str.contains s (str.to.re ""[A-Z]"")))",,,,,"(not (str.contains s (str.to.re ""[A-Z]"")))",,,,,,,"(not (str.contains s (str.to.re ""[A-Z]"")))",,
Password,False,The password shall not contain any lower case characters.,,,,,,"(not (str.contains s (str.to.re ""[a-z]"")))",,,,,"(not (str.contains s (str.to.re ""[a-z]"")))",,,,,,,"(not (str.contains s (str.to.re ""[a-z]"")))",,
Date,True,The date shall contain two hyphens.,"(= (str.count s ""-"") 2)",,"(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)",,,,,,,,,,,,,,,,
Date,True,The date shall have a number between 0 and 2025 before the first hyphen.,"(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= s 0) (<= s 2025)))",,"(and (<= s 2025) (>= s 0) (str.contains s (str.++ (str.from_int s) ""-"")))","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= s 0) (<= s 2025)))",,,,,,,,,,,,,,,,
Date,True,The date shall have a number between 1 and 12 after the first hyphen but before the second hyphen.,"(let ((s (str.to.int (str.substr s (+ 1 (str.indexof s ""-"")) (str.indexof s ""-"" (+ 1 (str.indexof s ""-""))))))) (and (>= s 1) (<= s 12)))",,"(and (<= s 12) (>= s 1) (str.contains s (str.++ (str.from_int s) ""-"")))","(let ((s (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" + 1))))) (and (>= s 1) (<= s 12)))",,,,,,,,,,,,,,,,
Date,True,The date shall have a number between 1 and 31 after the second hyphen.,"(let ((s (str.to.int (str.substr s (+ 1 (str.indexof s ""-"" (+ 1 (str.indexof s ""-"")))) (str.len s))))) (and (>= s 1) (<= s 31)))",,(and (<= s 31) (>= s 1) (str.contains s (str.from_int s))),"(let ((s (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" + 1)) (str.len s))))) (and (>= s 1) (<= s 31)))",,,,,,,,,,,,,,,,
Date,False,"The date shall contain either no hyphens, one hyphen or more than two hyphens.","(or (not (str.contains s ""-"")) (and (not (str.contains s ""-"")) (str.contains s ""-"")))","(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(or (not (str.contains s ""-"")) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(let ((s (str.count s ""-""))) (or (= s 0) (= s 1) (> s 2)))","(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.substr s 0 (str.indexof s ""-"")))))) (and (str.contains s ""-"") (>= (str.count s ""-"") 2)))","(or (not (str.contains s ""-"")) (and (not (str.contains s ""-"")) (not (str.contains s ""-""))) (str.contains s ""-"")) (>= (str.count s ""-"") 1))","(or (not (str.contains s ""-"")) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-""))) (> (str.count s ""-"") 2))","(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.indexof s ""-"" 1)))) (str.contains s ""-""))","(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(or (not (str.contains s ""-"")) (or (= (str.count s ""-"") 1) (> (str.count s ""-"") 2)))","(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (<= (str.count s ""-"") 2)))","(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""---""))))","(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.indexof s ""-"" 1)))) (and (str.contains s ""-"") (str.contains s ""-"" (str.indexof s ""-"" 1)) (str.contains s ""-"" (str.indexof s ""-"" 2))))","(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (or (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))))","(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.indexof s ""-"" 1)))) (>= (str.count s ""-"") 1))","(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.to.re ""-"")))) (str.contains s ""-"" (str.to.re ""-"")))"
Date,False,"If the date has at least one hyphen, the part before the first hyphen shall be either a number smaller than 0 or a number larger than 2025.","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (>= (str.count s ""-"") 1) (or (< (str.to.int (str.substr s 0 (str.indexof s ""-"" 0))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-"" 0))) 2025)))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (>= (str.count s ""-"") 1) (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 1) (or (< s 0) (> s 2025)))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 1) (or (< s 0) (> s 2025)))","(=> (str.contains s ""-"") (or (< (int (str.substr s 0 (str.indexof s ""-""))) 0) (> (int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (>= (str.count s ""-"") 1) (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 1) (or (< s 0) (> s 2025)))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (str.contains s ""-"") (or (< (int (str.substr s 0 (str.indexof s ""-""))) 0) (> (int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (str.contains s ""-"") (or (< (parse_int (str.substr s 0 (str.indexof s ""-""))) 0) (> (parse_int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 1) (or (< (str.to.int (str.substr s 0 (str.indexof s ""-"" 0))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-"" 0))) 2025)))","(=> (str.contains s ""-"") (or (< (str.to.int s) 0) (> (str.to.int s) 2025)))"
